,x
1,대구 폐렴 증상 17세 청소년 숨져사후 검체 검사 중
2,광주서 20대 신천지 신도 극단적 선택코로나19 
3,화천군 모든 사업현장 외지 근로자 진료확인서 발급 의
4,코로나19 검진능력 3배가성비 좋은 고양 드라이
5,대구경북서 하루 새 추가 사망 7명 늘어국내 총 
6,미래한국당 비례대표 후보 교체 추진당선권 5명 이상
7,총선 개표 참관인 공개 모집선거권자 누구나 신청 가
8,미래한국당 비례명단 5명 이상 바꾼다황교안의 선택
9,더불어시민당 민주당 의원 최소 10명 영입한다
10,통합당 강릉선거구 공천 배제 최명희 전 시장 무소속 출
11,대구 폐렴 증상 17세 청소년 숨져사후 검체 검사 중
12,문대통령 경제주체의 적극 참여 중요범국가적 
13,부산시 신천지 교인 능동감시 해제에도 시설폐쇄는 
14,국내 드라이브스루 선별진료소 논문 국제학회지에 소개
15,용산 후암동에서 확진자 1명 추가91세 男
16, 베네수엘라 마두로에 코로나19 금융지원 거부
17,베네수엘라 코로나19 대응 위해 에 50억불 지
18,아프리카남미까지 코로나 덮치면 사망자 속출할 것
19,코로나19에 닫힌 콜롬비아 국경 베네수엘라 난민들 어
20,브라질 코로나19 확산에 베네수엘라가이아나 국경 폐
21,조현아 대한항공 리베이트 부끄러워불법 의사결정 관여 안해
22,참여연대 대한항공 리베이트 의혹 조현아조원태 고
23,권홍사 허위공시 논란 한진 3자연합 분열하나
24,서스틴베스트 조원태회장 연임 반대한진 중립성 
25,난기류 앞 한진칼 경영권 다툼 격화
26, 쿠팡 새벽배송은 비인간적 노동중단해 사망사고 재발 막아야 
27, 이재명 방노래방클럽 밀접이용 제한 행정명령 
28, 개학 장기 연기에 문여는 학원들세무조사 다시 꺼내들까 
29, 코로나19 에어로졸 형태로 최장 3시간 생존스테인리스에선 
30, 대한항공 다음달 30일까지 파리行 운영발 묶인 교민들 안도 
31, 정부 내일 태풍급 강풍선별진료소 천막안내판 철저히 관리 
32, 미래한국당 비례대표 교체 추진당선권 5명 이상 
33, 질본 급하지 않은 해외여행 취소해달라65명 국외유입 
34, 범여 비례연합 더불어시민당 출범민주당 포함 6개당 구성 
35, 숨진 대구 17세 소년 사후 코로나19 검사유전자 하나서 
36, 코로나19 퍼질라미 국경서 잡힌 불법입국자 즉시 멕시코 추방 
37, 강원 영동경남울산지역 대형산불 위험예보 발령 
38,뉴시스 앵글
39,한국의 유적유물
40,우주의 신비
41,세계는 지금
42, 1 위 도쿄올림픽으로 일본은 파멸한다자크 아탈리 
43, 2 위 커지는 미중 갈등기자 추방 언론보복전 점입가경종합 
44, 3 위 민생당 비례연합 계파 갈등 심화김정화 당 나가달라 
45, 4 위 보호부양의무 외면한 가족 상속 막는 구하라법 입법 청원 
46, 5 위 민생당 바른미래 제외 비례연합 참여 의결갈등 폭발종합2보 
47, 1 위 예배 안 해서 코로나 왔다전북 대형교회 목사 발언 논란 
48, 2 위 한선교 벼랑끝 전술불발→제2비례당 창당 돌입 
49, 3 위 대구서 폐렴 증세 17세 청소년 사망사후 코로나19 검체 검사 
50, 4 위 한계 임박 대치동노량진 문 열리고집단감염 우려 커지고 
